PATCH,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,1,0.0769458704,0.0006173514,0,0,0,0,0,0,0,0.0648566206,0.0240291114,0,0,0,0,0,0,0,0,0.0012914772,9.5972270301496E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0769458704,1,0.0503024799,0.0006364261,0,0,0,0,0,0,0.0141962973,0.1235587704,0.0296981285,0.0011815789,0,0,0,0,0,0,0,0.0047556699,0.0011355537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.0006173514,0.0503024799,1,0.0892589093,0.0033408693,0,0,0,0,0,0,0.005971206,0.0591539043,0.0063759077,0.001030201,0,0,0,0,0,0,0.000158297,0.0003437088,0.0003893329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0.0006364261,0.0892589093,1,0.1037111975,0.0011628841,0,0,0,0,0,4.98631108139282E-06,0.0508778789,0.0652243896,0.0216006711,0.0048757295,0,0,0,0,0,0,0.0011265694,0.0001821762,0.000217272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0.0033408693,0.1037111975,1,0.108786527,0.0089386214,0,0,0,0,0,0,0.049138302,0.0144964048,0.0137986945,0.0003502156,0,0,0,0,0,0,7.16562977048334E-07,0.000144967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0.0011628841,0.108786527,1,0.0653408602,8.57269856753302E-07,0,0,0,0,0,9.29376995158179E-06,0.0362924977,0.0650867025,0.0185514693,1.04212320787459E-05,0,0,0,0,0,0,3.57288496380711E-06,0.0004024804,0.0001466036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0.0089386214,0.0653408602,1,0.0683564821,0.0009344677,0,0,0,0,0,0.000025601,0.0352664256,0.0433500736,0.0070270626,0,0,0,0,0,0,0,6.80177955976141E-05,0.0013895509,0.0001237819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,8.57269856753302E-07,0.0683564821,1,0.0581653636,0.0070510012,0,0,0,0,0,0,0.0426026558,0.086732257,0.0104335729,0.001284232,0,0,0,0,0,0,0.0002318144,0.0010306165,4.49003723990075E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0.0009344677,0.0581653636,1,0.1871260271,0,0,0,0,0,0,0,0.0372607055,0.0682866422,0.0142787088,0,0,0,0,0,0,0,0.0033254756,0.0004909372,9.01740976363024E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0.0070510012,0.1871260271,1,0,0,0,0,0,0,0,0.0018103697,0.0098771554,0.1841011984,0,0,0,0,0,0,0,0,0,0.0035895504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.0648566206,0.0141962973,0,0,0,0,0,0,0,0,1,0.0970914255,0.0010893198,0,0,0,0,0,0,0,0.0427735657,0.0359757761,0.001760841,0,0,0,0,0,0,0,0.0001685144,3.96031282726336E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.0240291114,0.1235587704,0.005971206,4.98631108139282E-06,0,0,0,0,0,0,0.0970914255,1,0.0891575089,0,0,0,0,0,0,0,0.0131823043,0.0942913072,0.0227541168,0,0,0,0,0,0,0,2.43123024221491E-07,0.0012127639,2.22288950004682E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0.0296981285,0.0591539043,0.0508778789,0,0,0,0,0,0,0.0010893198,0.0891575089,1,0.0718570166,0.0003783863,0,0,0,0,0,0.0002266842,0.0125279792,0.0401430384,0.0211498825,0.0010084467,0,0,0,0,0,0,0,0.0024587685,2.9346736758221E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
