SAMPLE_FFDI_PATHS,,,,,,,,,,,,,,,,,,,,,
PRESET_PATHS,10,,,,,,,,,,,,,,,,,,,,
PATH_1_26/01/2017,HOUR,,,,,,,,,,,,,,,,,,,,
PATCH,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
8,0.3412406573,0.3516822146,0.4296573233,0.7360867425,1.2608204873,1.9041061567,2.9809817406,3.245640429,3.7801462124,4.909944751,5.8500060147,6.1382070579,6.1932667224,5.2524923086,2.8910006544,1.4672981104,0.6642230212,0.7279467998,0.5506161745,0.4452375538,0.3937034529
9,0.4707221362,0.4657774643,0.8602886527,1.5102613217,2.0807589284,3.140407902,4.675390537,5.6908674977,7.0467935417,9.5346515739,10.5756342192,11.1439048318,7.5364609106,6.0728176892,4.1262239733,2.2940359653,1.5300993938,1.0328714062,0.8349925603,0.6679095866,0.6389286664
15,2.1063006579,5.3061808424,5.8593132858,6.5334573601,8.3823122142,10.3281339567,12.4444111651,15.0982738868,14.0092476473,11.4658123206,12.0811790931,14.0797238732,6.9635430159,3.616646739,1.6109784924,0.9560181881,0.9062358839,0.8295070726,0.851779586,0.8862582438,0.8994804316
16,2.5614910694,2.4716341669,2.44339762,2.6620048394,2.8202894962,3.4996380117,4.718115861,5.8364313387,6.9255643124,9.7287900691,11.4705116511,12.9755853007,14.5485238944,13.9406570437,13.0202981762,10.695675896,10.1664139567,9.5398669414,6.9877238501,4.6288797018,3.0650530384
17,0.051372018,0.0460705366,0.0713718566,0.1294511548,0.1861371238,0.292327172,0.5083975026,0.6425943325,0.7482623315,0.7882092711,0.7535336136,0.861593539,0.9129979425,0.8159912461,0.6531217944,0.4341862663,0.170825681,0.123816871,0.1415146267,0.1063965424,0.0825160715
18,1.9503156477,1.8583541494,2.3817874378,3.4461622829,5.1550212007,7.1762088631,9.4668027378,12.2833075401,15.1381981763,17.1479945362,19.3335364936,18.0486561433,16.350872014,14.5385134774,6.7128340913,3.1424137981,2.5342588568,1.7546882926,1.4003776918,1.1926431519,0.9997620084
25,0.4614637695,0.6236607431,0.8847086608,1.4630224843,2.0012459926,2.2487164905,2.5232891724,2.9266858877,3.5152127063,4.0706804675,4.3294397319,3.4292332178,2.9473040458,1.6989562943,1.0053674796,0.6647273399,0.5036246718,0.4576987059,0.4268505008,0.4248815959,0.4005201871
26,0.5175257743,0.5033669008,0.5084970068,0.5808771735,0.7256293369,0.9949468605,1.4973008446,1.5973947968,1.9764336826,2.6107147913,2.7946700519,3.6039629168,3.7684887169,2.5916741328,2.4469541578,2.3576469115,1.3984493984,0.8438707383,0.7047016292,0.6249830268,0.5999309062
27,0.4465478768,0.4198076464,0.4098481075,0.4926636164,0.9047662486,1.2567403469,1.6314371974,2.0528136053,2.3577819904,2.6723850279,3.4341565255,3.8721942753,4.0234161992,3.9819885992,3.2468371652,2.0981402194,1.4527398752,1.1545392453,0.9995728047,0.769851772,0.609505512
28,1.7936517368,1.1425968588,1.0815374765,0.9157367176,0.9230735315,1.266115584,1.649980745,2.0356061117,2.1582627553,2.6813050049,2.9119519168,2.9630336289,2.3944501406,1.9824106777,1.5369249249,1.6709020297,1.8185393395,1.8286602925,1.8589003109,1.6574082418,1.5384802556
29,0.5032951534,0.4982175276,0.5306574895,0.8944569586,1.2800914299,1.7313847208,2.2815419426,2.8708309142,3.5640641362,4.0591415283,4.529137414,5.2327738222,4.5582624307,4.1402720781,3.0666676162,2.2233643129,1.6932529563,1.1175195089,0.8662015103,0.7449354515,0.6652397968
30,10.7805422654,11.3796066962,9.7850221756,2.5382956887,2.5327682313,2.4799858813,3.0544601513,3.6569624354,4.1807174356,4.564015678,5.2728597748,5.8373846763,5.7413413467,4.3470735307,2.958826885,3.7123788371,7.2405188423,6.0343785029,6.5628250635,12.488411823,12.6067345614
37,2.9298477602,5.334986311,7.8023842584,10.3687500116,14.6743525765,18.909593738,21.9386072059,25.3510070501,29.2518380617,30.7942803054,22.5885782508,10.2359716982,7.8081256993,5.4409298506,3.177958514,2.776927856,2.5472630531,2.2262658614,1.8348400591,1.5889525735,1.3822637466
38,2.3091935499,1.9507001335,1.9641672241,2.1279059008,2.9011242984,4.2952439437,6.8987369972,8.4940706625,11.8301144318,15.9440919661,14.7626206018,13.8794364263,10.2385330341,8.2425383689,6.1578540661,4.334465704,2.9401727877,2.2682494146,1.7511105094,1.4473729628,1.1504925597
39,0.8230171987,0.750182941,0.7002637838,0.930942113,1.3912488807,1.9070772207,2.8204369481,3.9883667812,5.8837353221,7.9407824765,10.1162376304,10.2331435391,5.8334688247,3.9539766491,2.8351697703,2.0942423037,1.6978993646,1.4594823515,1.4042060913,1.3569398898,1.3300839805
40,1.812355406,2.3206932422,2.885475405,4.4323639336,6.5677283993,10.0739824497,15.3562598209,19.0017124475,24.6886836588,24.7209552058,13.7045270868,8.2401486293,6.3705577849,4.8738586756,3.3188234164,2.15450253,1.7614291003,1.537278893,1.3527777388,1.0914244107,0.9917859354
PATH_2_12/02/2017,HOUR,,,,,,,,,,,,,,,,,,,,
PATCH,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
8,0.2990760738,0.2910974144,0.297019552,0.3458129315,0.5489119073,1.1262490534,1.5627587508,2.0825074853,2.8904514165,3.3156135498,3.7725934752,3.040610681,2.2807036384,1.5984968793,1.0793233781,0.8172534855,0.6291734433,1.0576470693,0.3693955305,0.3545388633,0.3425877977
9,0.4045876821,0.404417791,0.3972788709,0.4179987657,0.5386190125,1.1770286866,2.1180020195,3.3214226516,4.5101174741,5.2989739139,5.5682304382,5.8132106912,5.0375092349,3.682597218,2.1467554298,0.9704600723,0.3895337186,0.1418811431,0.6025647559,0.5417502697,0.4989446353
15,0.6225890011,0.7750255901,1.3763274942,2.4827883547,3.8535862499,4.4183597397,6.2015033835,6.1663625796,5.0400417755,4.874898744,6.6075218683,6.1741487009,5.2467392463,3.3233295744,1.8305873523,1.5271881255,1.3065118991,1.1134929143,6.9287613664,6.2294687869,5.7372560859
