SAMPLE_FFDI_PATHS,,,,,,,,,,,,,,,,,,,,,
PRESET_PATHS,5,,,,,,,,,,,,,,,,,,,,
PATH_6_17/12/2017,HOUR,,,,,,,,,,,,,,,,,,,,
PATCH,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
8,0.136641511,0.1418273947,0.1497086075,0.1618452753,0.2878215839,0.647857515,1.0630854788,1.4557125544,1.5696230718,1.2982477997,1.1470982685,0.9842311597,1.0400881913,0.9804099376,0.6984899481,0.3132967386,0.2039899622,0.1660569477,0.1539735429,0.1438283807,0.1409310534
9,0.2469746824,0.245259254,0.2511011462,0.2872307302,0.4737907795,1.056604592,1.6325783122,2.3125493985,2.9764477274,3.2304471097,2.9445045001,2.7910574872,2.3886552524,1.9575242787,1.2599985267,0.7273485733,0.6108099301,0.5373640677,0.4230974665,0.3502904158,0.3160253936
15,0.3014631935,0.4926158459,0.7385275403,0.9844965603,1.4531516268,1.7482003415,2.2442604421,2.3108022428,2.1623707198,2.0179501795,1.9078445835,1.9645374663,2.0338435611,1.7927258107,1.4827373368,1.1777265606,0.865096497,0.4259887783,0.3354053308,0.2776884337,0.2505252573
16,0.5460027214,0.5456970455,0.8120841436,1.1026415178,1.5987285882,1.9567573324,2.6000188135,3.3149372056,4.0470113925,4.9915110569,5.7442461311,6.1303919095,6.6802718374,6.1131285571,4.2189601214,2.7683422655,2.7161859743,1.900085112,1.4702699846,1.6896071511,1.3331786416
17,0.3061719174,0.3068431687,0.4386126888,0.7060716826,1.0743883112,1.5183154851,2.1282530668,2.8067058121,3.3948904308,4.6029688008,5.1620897447,5.3893322304,5.4087147039,5.0498648815,4.1655631926,1.936730974,0.7993882645,0.570536283,0.4325019201,0.4080651185,0.3833302027
18,0.6040786043,0.7507211884,0.9918920978,1.3762729023,2.1442268618,3.2115672248,4.078091258,4.9917125637,5.9981377738,7.150619884,7.642303401,8.0683504002,6.9073706389,5.1326856977,3.7975611195,2.3394340708,1.3917598842,1.0707496922,1.4566786167,1.500155732,1.2634156973
25,0.2286146975,0.4092431525,0.6104436326,0.9100184154,0.9488525184,1.2466271585,1.5649650441,1.8899038483,2.028967611,1.9235123951,1.6700203517,1.8510638493,1.8220226923,1.260869014,0.6841219506,0.4750373863,0.473596288,0.3860051544,0.2811758653,0.2988123105,0.2939811591
26,0.2696977424,0.2554104501,0.2632625595,0.2982052057,0.3488569174,0.5227074086,0.6387300188,0.7120312916,1.0697410184,1.2258648321,1.4021357085,1.5884625207,1.6138079623,1.7824994777,1.5383902543,0.8871569037,0.5666386842,0.4923460679,0.4083248601,0.3312035308,0.3136140479
27,0.2340981122,0.2285123622,0.2502599833,0.3122706596,0.5299964511,0.7436201181,1.0028791684,1.1203543638,1.5145600966,1.4931754572,1.6440373766,2.0347135178,1.7366101641,1.9661258473,1.9130044784,1.5162725168,0.9794295502,1.0343622276,0.7497973752,0.5656372681,0.4179087067
28,0.2799657822,0.3254950939,0.3956924979,0.4555827593,0.5678614081,0.5872539731,0.597938191,0.768420715,0.8967412771,1.0363574467,0.9926294071,0.9054910462,0.8433966667,0.6925132622,0.731302645,1.2204408063,1.6785026397,1.6445094122,1.285038836,0.9619324399,0.8985786341
