SAMPLE_FFDI_PATHS,,,,,,,,,,,,,,,,,,,,,
PRESET_PATHS,1,,,,,,,,,,,,,,,,,,,,
PATH_6_17/12/2017,HOUR,,,,,,,,,,,,,,,,,,,,
PATCH,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
20,0.2186097045,0.2427587055,0.3572686316,0.6336571076,1.3556929007,2.0115643228,2.5105018902,3.1844917158,3.4148469991,3.3088235042,3.5939529227,3.7145691268,3.4796185977,3.1835365116,2.4125702897,1.5637592365,0.7438861273,0.5142903393,0.4143445891,0.2981295037,0.273704202
21,0.2186097045,0.2427587055,0.3572686316,0.6336571076,1.3556929007,2.0115643228,2.5105018902,3.1844917158,3.4148469991,3.3088235042,3.5939529227,3.7145691268,3.4796185977,3.1835365116,2.4125702897,1.5637592365,0.7438861273,0.5142903393,0.4143445891,0.2981295037,0.273704202
22,0.2186097045,0.2427587055,0.3572686316,0.6336571076,1.3556929007,2.0115643228,2.5105018902,3.1844917158,3.4148469991,3.3088235042,3.5939529227,3.7145691268,3.4796185977,3.1835365116,2.4125702897,1.5637592365,0.7438861273,0.5142903393,0.4143445891,0.2981295037,0.273704202
23,0.2186097045,0.2427587055,0.3572686316,0.6336571076,1.3556929007,2.0115643228,2.5105018902,3.1844917158,3.4148469991,3.3088235042,3.5939529227,3.7145691268,3.4796185977,3.1835365116,2.4125702897,1.5637592365,0.7438861273,0.5142903393,0.4143445891,0.2981295037,0.273704202
24,0.2186097045,0.2427587055,0.3572686316,0.6336571076,1.3556929007,2.0115643228,2.5105018902,3.1844917158,3.4148469991,3.3088235042,3.5939529227,3.7145691268,3.4796185977,3.1835365116,2.4125702897,1.5637592365,0.7438861273,0.5142903393,0.4143445891,0.2981295037,0.273704202
25,0.2186097045,0.2427587055,0.3572686316,0.6336571076,1.3556929007,2.0115643228,2.5105018902,3.1844917158,3.4148469991,3.3088235042,3.5939529227,3.7145691268,3.4796185977,3.1835365116,2.4125702897,1.5637592365,0.7438861273,0.5142903393,0.4143445891,0.2981295037,0.273704202
26,0.2186097045,0.2427587055,0.3572686316,0.6336571076,1.3556929007,2.0115643228,2.5105018902,3.1844917158,3.4148469991,3.3088235042,3.5939529227,3.7145691268,3.4796185977,3.1835365116,2.4125702897,1.5637592365,0.7438861273,0.5142903393,0.4143445891,0.2981295037,0.273704202
27,0.2186097045,0.2427587055,0.3572686316,0.6336571076,1.3556929007,2.0115643228,2.5105018902,3.1844917158,3.4148469991,3.3088235042,3.5939529227,3.7145691268,3.4796185977,3.1835365116,2.4125702897,1.5637592365,0.7438861273,0.5142903393,0.4143445891,0.2981295037,0.273704202
28,0.2186097045,0.2427587055,0.3572686316,0.6336571076,1.3556929007,2.0115643228,2.5105018902,3.1844917158,3.4148469991,3.3088235042,3.5939529227,3.7145691268,3.4796185977,3.1835365116,2.4125702897,1.5637592365,0.7438861273,0.5142903393,0.4143445891,0.2981295037,0.273704202
29,0.2186097045,0.2427587055,0.3572686316,0.6336571076,1.3556929007,2.0115643228,2.5105018902,3.1844917158,3.4148469991,3.3088235042,3.5939529227,3.7145691268,3.4796185977,3.1835365116,2.4125702897,1.5637592365,0.7438861273,0.5142903393,0.4143445891,0.2981295037,0.273704202
30,0.2186097045,0.2427587055,0.3572686316,0.6336571076,1.3556929007,2.0115643228,2.5105018902,3.1844917158,3.4148469991,3.3088235042,3.5939529227,3.7145691268,3.4796185977,3.1835365116,2.4125702897,1.5637592365,0.7438861273,0.5142903393,0.4143445891,0.2981295037,0.273704202
31,0.2186097045,0.2427587055,0.3572686316,0.6336571076,1.3556929007,2.0115643228,2.5105018902,3.1844917158,3.4148469991,3.3088235042,3.5939529227,3.7145691268,3.4796185977,3.1835365116,2.4125702897,1.5637592365,0.7438861273,0.5142903393,0.4143445891,0.2981295037,0.273704202
32,0.2186097045,0.2427587055,0.3572686316,0.6336571076,1.3556929007,2.0115643228,2.5105018902,3.1844917158,3.4148469991,3.3088235042,3.5939529227,3.7145691268,3.4796185977,3.1835365116,2.4125702897,1.5637592365,0.7438861273,0.5142903393,0.4143445891,0.2981295037,0.273704202
33,0.2186097045,0.2427587055,0.3572686316,0.6336571076,1.3556929007,2.0115643228,2.5105018902,3.1844917158,3.4148469991,3.3088235042,3.5939529227,3.7145691268,3.4796185977,3.1835365116,2.4125702897,1.5637592365,0.7438861273,0.5142903393,0.4143445891,0.2981295037,0.273704202
34,0.2186097045,0.2427587055,0.3572686316,0.6336571076,1.3556929007,2.0115643228,2.5105018902,3.1844917158,3.4148469991,3.3088235042,3.5939529227,3.7145691268,3.4796185977,3.1835365116,2.4125702897,1.5637592365,0.7438861273,0.5142903393,0.4143445891,0.2981295037,0.273704202
35,0.2186097045,0.2427587055,0.3572686316,0.6336571076,1.3556929007,2.0115643228,2.5105018902,3.1844917158,3.4148469991,3.3088235042,3.5939529227,3.7145691268,3.4796185977,3.1835365116,2.4125702897,1.5637592365,0.7438861273,0.5142903393,0.4143445891,0.2981295037,0.273704202
36,0.2186097045,0.2427587055,0.3572686316,0.6336571076,1.3556929007,2.0115643228,2.5105018902,3.1844917158,3.4148469991,3.3088235042,3.5939529227,3.7145691268,3.4796185977,3.1835365116,2.4125702897,1.5637592365,0.7438861273,0.5142903393,0.4143445891,0.2981295037,0.273704202
