SAMPLE_FFDI_PATHS,,,,,,,,,,,,,,,,,,,,,
PRESET_PATHS,10,,,,,,,,,,,,,,,,,,,,
PATH_6_17/12/2017,HOUR,,,,,,,,,,,,,,,,,,,,
PATCH,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
8,0.2186097045,0.2427587055,0.3572686316,0.6336571076,1.3556929007,2.0115643228,2.5105018902,3.1844917158,3.4148469991,3.3088235042,3.5939529227,3.7145691268,3.4796185977,3.1835365116,2.4125702897,1.5637592365,0.7438861273,0.5142903393,0.4143445891,0.2981295037,0.273704202
9,0.4184497199,0.4849698573,0.6499638455,1.1854606818,2.3184560306,3.4902782474,4.0986656113,4.5106508696,5.2272297858,4.9638490607,4.6132447516,3.4646494548,3.0873448821,2.5799021196,1.7280635738,1.2052192012,0.9595042445,0.8210358207,0.6505193284,0.5748625741,0.5313447252
15,1.453891913,1.9498389177,2.8374639088,3.8377689519,4.0122558107,4.7722644521,6.0467029977,5.4641769704,5.8431151831,5.6390723884,4.9790569355,4.121145005,3.4735294515,2.6097417996,1.9051368583,1.519595331,1.2523634049,0.9268069502,0.7292982613,0.6895578657,0.6161970369
16,0.8166694965,0.9738667428,1.3422122707,2.0879635249,3.0908594795,4.4050834383,4.8120308105,6.1990075145,7.343453242,7.5562059136,8.291651796,8.0195250621,8.1515590296,6.0643004944,4.350188602,2.8707955915,2.3860020931,2.2435943512,2.011746801,1.9710835164,1.8403088299
17,0.6944456812,0.8355447826,1.0543966076,1.3821339803,1.8510789168,2.2029969148,3.2662700205,4.3034570609,4.7990532906,5.7433844807,6.9811849596,7.5587714271,8.1749014964,7.5522736781,5.5684607394,3.1940786294,2.1827786327,1.5998960643,1.198809124,1.0301749759,0.8565767703
18,0.868120821,1.0974020576,1.6218632143,2.7536178273,3.9352154029,5.2966027297,6.5939701687,7.9524942424,8.7449432641,10.0071078013,10.4602841184,11.0259944922,10.4816448785,9.2978725938,5.9575279446,3.9689263632,3.0675083529,2.3220853057,2.0320231121,1.700091212,1.613574499
25,0.4655424074,0.9366516948,1.7562962349,2.2003416257,2.4147007097,2.9837840081,3.224635335,3.3117209011,3.6559691906,3.095444562,3.1642370989,3.2021946807,2.8637694882,2.1230413542,1.25184021,0.9740230565,0.8856998788,0.6999885296,0.6959720351,0.6344288385,0.5761026017
26,0.4685328116,0.4575774384,0.4928999117,0.5401874098,1.194026078,1.4050330921,1.5000086213,1.7612096174,2.2055366448,2.3501304931,2.4322842967,3.2056371059,3.375896287,3.2398947853,2.7026718441,2.3525994261,1.6529488186,1.0841332888,0.7922777038,0.6903936668,0.624837719
27,0.4352812725,0.4187744316,0.4554757266,0.7725543989,1.2484804185,1.8232071974,2.2091264074,2.7478180122,2.4907581614,2.763939858,3.0322870799,3.315462551,3.4675460259,3.4106304149,3.057773836,2.3050840653,1.6185280849,1.1525042075,0.8347027245,0.7547493013,0.6698914222
28,1.0072682571,1.0541470649,1.0386086393,1.2097841686,1.3910821516,1.5502744358,1.6350149869,1.8913142743,1.8965604774,1.8749874585,1.8460200007,1.6496645606,1.6180018639,1.6359144925,1.5031636252,1.9256469142,1.741961837,1.6630312155,1.6410587165,1.5208837682,1.4129809086
29,5.0479447616,6.5120296548,10.7091785541,3.3071314511,1.6670092999,2.3111175203,2.6147308912,3.2374668337,3.359832705,3.4893350311,4.1753207536,3.7383008221,4.2540062354,4.0269174501,3.7312047939,2.6308084189,1.7878274767,1.4253553949,1.4477317648,1.7635838755,2.3022986376
30,0.3432346188,0.3767622053,0.5706831963,1.151342847,1.9036040431,2.5494533259,2.9505717177,3.6517224274,4.2900095292,4.3257647873,4.277073244,4.3116857554,4.2503398914,3.9422394659,3.300021403,2.1573679871,1.9704047021,1.8290175307,1.2719451994,1.0561892484,1.042016087
37,2.9077319751,3.5956183011,6.2562795352,8.1549433452,10.4713444762,12.7269357107,14.6924936932,18.1982151013,20.8672439745,22.002626018,22.2225988051,21.7864926293,20.0677543547,11.5031266291,7.278873792,5.3704286158,5.2354775781,4.0061737542,3.2115354016,2.4105912914,1.8908870034
38,1.0672268263,1.0626157244,0.9247642239,0.9192782138,1.1146088464,1.5492385202,2.2199030704,3.0191143686,4.3034349653,5.7333702435,7.0349004019,8.5871210884,9.7840502367,10.5281595885,9.076544268,5.5758988494,4.6101183676,4.3048122849,3.9068905734,4.7911085171,3.9471026674
39,0.9770162344,0.9706376906,0.8928720312,0.8804501127,1.0096744877,1.4226594747,2.0312634517,2.4856345758,3.3275556302,4.5389149671,6.4564394006,7.9107135749,8.4746384319,9.8236032958,8.3168035263,5.757238827,2.7128181151,2.1863817083,2.5385919248,1.8825920308,1.7285960842
40,1.1394181128,1.1385779303,1.2566182644,2.0604479203,2.7293538405,3.3581754926,4.4569437791,5.6379305012,7.0654908541,8.5865734093,11.0453744936,12.151326619,11.9656655421,9.2036182463,5.5895889463,5.026682072,4.2815084713,2.8102380061,2.4119494695,1.9669389359,1.7509562373
PATH_7_19/12/2017,HOUR,,,,,,,,,,,,,,,,,,,,
PATCH,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
8,0.2732830219,0.2836547894,0.2994172149,0.3236905505,0.5756431678,1.2957150299,2.1261709575,2.9114251088,3.1392461435,2.5964955993,2.294196537,1.9684623194,2.0801763826,1.9608198751,1.3969798961,0.6265934771,0.4079799244,0.3321138954,0.3079470857,0.2876567613,0.2818621068
9,0.4939493647,0.490518508,0.5022022923,0.5744614604,0.9475815589,2.1132091839,3.2651566243,4.625098797,5.9528954548,6.4608942193,5.8890090001,5.5821149744,4.7773105048,3.9150485573,2.5199970534,1.4546971465,1.2216198601,1.0747281354,0.846194933,0.7005808316,0.6320507872
15,0.6029263869,0.9852316918,1.4770550806,1.9689931206,2.9063032536,3.496400683,4.4885208842,4.6216044855,4.3247414395,4.0359003589,3.8156891669,3.9290749326,4.0676871222,3.5854516214,2.9654746735,2.3554531211,1.730192994,0.8519775566,0.6708106615,0.5553768673,0.5010505146
16,1.0920054427,1.0913940909,1.6241682872,2.2052830356,3.1974571763,3.9135146648,5.2000376269,6.6298744111,8.094022785,9.9830221138,11.4884922621,12.260783819,13.3605436747,12.2262571141,8.4379202427,5.536684531,5.4323719485,3.8001702239,2.9405399692,3.3792143021,2.6663572832
17,0.6123438348,0.6136863373,0.8772253776,1.4121433652,2.1487766224,3.0366309701,4.2565061336,5.6134116242,6.7897808615,9.2059376015,10.3241794893,10.7786644608,10.8174294077,10.0997297629,8.3311263852,3.8734619479,1.598776529,1.1410725659,0.8650038401,0.8161302369,0.7666604054
18,1.2081572085,1.5014423767,1.9837841956,2.7525458046,4.2884537236,6.4231344495,8.1561825159,9.9834251273,11.9962755475,14.301239768,15.2846068019,16.1367008004,13.8147412778,10.2653713954,7.5951222389,4.6788681415,2.7835197683,2.1414993843,2.9133572333,3.000311464,2.5268313946
25,0.4572293949,0.818486305,1.2208872651,1.8200368308,1.8977050367,2.4932543169,3.1299300881,3.7798076965,4.0579352219,3.8470247901,3.3400407033,3.7021276986,3.6440453845,2.521738028,1.3682439011,0.9500747726,0.9471925759,0.7720103088,0.5623517305,0.5976246209,0.5879623182
26,0.5393954848,0.5108209001,0.526525119,0.5964104114,0.6977138347,1.0454148171,1.2774600375,1.4240625831,2.1394820367,2.4517296641,2.8042714169,3.1769250413,3.2276159245,3.5649989553,3.0767805085,1.7743138074,1.1332773683,0.9846921358,0.8166497201,0.6624070616,0.6272280958
