AIRSTRIPS,X,Y,A1,H1,MAX TANKERS,MAX HELIS,,,,,,,,,,,,,,
1,30,20,0,0,10,10,,,,,,,,,,,,,,
2,120,40,2,0,10,10,,,,,,,,,,,,,,
3,40,180,2,0,10,10,,,,,,,,,,,,,,
4,20,110,1,0,10,10,,,,,,,,,,,,,,
5,140,180,2,0,10,10,,,,,,,,,,,,,,
6,180,50,4,0,10,10,,,,,,,,,,,,,,
7,160,100,5,0,10,10,,,,,,,,,,,,,,
8,80,80,1,0,10,10,,,,,,,,,,,,,,
9,100,140,3,0,10,10,,,,,,,,,,,,,,
10,60,140,0,0,10,10,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
BASES,X,Y,T1,CAPACITY,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
RAW PATCHES,LOCATION X,LOCATION Y,LOCATION Z,VEGETATION,PRECIP_0,TEMP_0_MIN,TEMP_0_MAX,PRECIP_CAT,EXISTING_FIRES,FIRE_AGE,WIND_0_NS,WIND_0_EW,"VERTICES ([X1, Y1, X2, Y2, …, XN, YN] TRACING THE OUTLINE. THIS ALLOWS IRREGULAR, CLOSED POLYGONS. DO NOT REPEAT THE FIRST POINT TO CLOSE THE SHAPE)",,,,,,,
1,10,10,100,2,43.38,30.1545454545,31.6945742192,0,0,0,13.6974150005,10.263261157,0,0,0,20,20,20,20,0
2,10,30,100,3,44.88,28.0437027272,29.1727272727,0,0,0,-11.7507838936,32.7136147625,0,20,0,40,20,40,20,20
3,10,50,100,2,45.17,28.2107707355,29.7181818182,0,0,0,5.8345507204,12.3518989403,0,40,0,60,20,60,20,40
4,10,70,100,3,45.08,27.7013208626,28.7727272727,0,0,0,10.2110588304,-2.7000812549,0,60,0,80,20,80,20,60
5,10,90,100,2,45.3,27.3416325078,28.8090909091,0,0,0,-7.202953282,-7.2146633656,0,80,0,100,20,100,20,80
6,10,110,100,2,45.42,26.6745113407,28.2727272727,0,0,0,-1.141400817,-10.107045696,0,100,0,120,20,120,20,100
7,10,130,100,1,46.45,28.1896565196,29.1363636364,0,0,0,3.9192148732,1.7444176886,0,120,0,140,20,140,20,120
8,10,150,100,3,43.5,27.1008161617,27.7818181818,0,0,0,4.5043188726,14.8998039449,0,140,0,160,20,160,20,140
9,10,170,100,3,46.07,29.5864128531,30.7636363636,0,0,0,-24.1926246937,-3.0135343326,0,160,0,180,20,180,20,160
10,10,190,100,2,43.71,27.0711697726,28.2454545455,0,0,0,7.3832290194,27.8461120526,0,180,0,200,20,200,20,180
11,30,10,100,1,45.6,27.536666525,28.8272727273,0,0,0,-0.1552783437,8.0036238759,20,0,20,20,40,20,40,0
12,30,30,100,1,42.75,27.5581305551,28.4272727273,0,0,0,-4.2915571881,-23.7507957567,20,20,20,40,40,40,40,20
13,30,50,100,3,74.54,24.5065210679,25.0264084507,1,0,0,-13.1847881315,-27.7834350695,20,40,20,60,40,60,40,40
14,30,70,100,1,73.63,22.9235229568,23.4419014085,1,0,0,-3.3252613299,-27.270343602,20,60,20,80,40,80,40,60
15,30,90,100,2,73.99,23.9139698498,25.2024647887,1,0,0,10.4340132937,-19.6464990709,20,80,20,100,40,100,40,80
16,30,110,100,2,45.46,25.7142585099,27,0,0,0,18.5886947567,-1.2516893305,20,100,20,120,40,120,40,100
17,30,130,100,2,43.55,27.7025665371,28.7545454545,0,0,0,6.2624497614,7.8229434381,20,120,20,140,40,140,40,120
18,30,150,100,2,43.75,28.127700171,28.4727272727,0,0,0,-15.5235791686,-4.5686014138,20,140,20,160,40,160,40,140
19,30,170,100,3,45.09,27.5373538339,28.5545454545,0,0,0,1.2237893375,-3.4996255647,20,160,20,180,40,180,40,160
