SAMPLE_FFDI_PATHS,,,,,,,,,,,,,,,,,,,,,
PRESET_PATHS,10,,,,,,,,,,,,,,,,,,,,
PATH_1,HOUR,,,,,,,,,,,,,,,,,,,,
PATCH,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,11.7629013715,9.7756913574,15.3932416256,23.6816740835,36.9047913431,45.6228793893,51.6920487709,67.6718949785,28.7425248384,27.6526671199,36.3120380902,37.3202407116,44.0219850191,58.8367835788,61.6275599011,79.6369936158,68.3644410235,84.8944701582,46.126237435,73.5905482052,54.3231845433
2,15.6079695347,18.4952096675,22.4654822261,31.9064712022,36.1173662551,44.190692054,53.4988071458,52.9671943667,39.4668742877,43.5360877759,47.8489971468,41.2220759654,62.9805582642,75.1144374611,74.6211030354,50.8586888521,47.5434210502,39.9660352813,50.5863415881,66.4359367644,47.5711574965
3,9.5456971161,17.4664246807,23.2151712015,29.6348833667,26.5294227218,35.774702648,36.9438422082,37.2940300721,49.3004930542,52.3720147033,49.8041207532,40.2826677439,52.4964439428,45.7888750867,53.7086554443,48.9666611619,60.1661778472,43.586346401,56.1785274235,53.7047831371,48.5340644149
4,8.6893768881,9.2079557217,17.1124456555,31.4060336909,36.1153984462,52.7307439076,61.11890658,59.8937732372,66.1466804079,79.5855428116,49.7620058616,44.9596036181,48.852084524,72.2837221928,31.6713209195,45.5503911351,47.1380951989,42.4147101537,49.564298715,32.7311981702,31.3370586821
5,8.5032986363,11.0866235803,19.2468335575,23.8030469438,22.9782311048,28.301821214,37.0474958231,34.0617926497,33.306401251,36.3187830799,60.8569981753,44.5885510679,59.7807705221,71.8492379252,67.2295118767,84.0939397069,87.9052815963,104.329398076,56.1415983397,76.2914565062,86.9104352372
6,8.2931114002,11.9023022718,16.4204937805,24.5813878506,30.1176307666,22.4113182006,33.1051987426,24.3696134644,30.8685095716,35.4527771379,59.2944822019,123.497133821,105.01201418,119.636793346,52.1098914231,35.4025859722,24.2264208117,30.5258038836,24.6851978375,25.4959098674,29.0691902409
7,7.2606333103,11.1495459244,13.6193937473,19.4769973402,16.4919183279,16.8607921571,20.8276905808,24.2147226053,30.0691412848,30.3779811655,48.0299378807,53.5192889744,30.1227673109,30.8890942475,31.616384037,41.3198900811,36.8126092973,35.984896041,42.8969394359,49.3354433969,54.8478329331
8,10.0422791283,15.2326397802,14.8371995998,20.3931611463,37.7083325067,32.1863692669,38.0235004761,32.4515536304,31.9540392873,43.1798480241,38.4941478868,35.2484407688,42.651545163,44.2112831296,38.5024326303,44.6810176884,38.5348812805,42.5723468676,43.3894380044,46.9928960415,51.3587953473
9,12.3886649645,16.0254421326,22.4634191791,24.2615189059,29.5409083352,42.0782352035,51.2383917373,105.809490276,77.8928489116,63.4926433225,66.423604288,46.5567422508,42.6945149438,56.3554250165,60.4997355115,72.6311235813,89.8711240674,65.6760239879,69.9593445735,47.1494820713,78.1812905181
10,13.6914121908,27.6831803404,23.5712166089,21.4265366637,29.535213812,28.1752119373,31.1910878589,44.2916828134,60.5832375433,58.9036865691,87.2285008693,83.3982210705,55.5115849229,39.2432123794,36.139482998,50.7962444277,45.7664531438,41.5653573835,41.599049188,39.6551961743,33.9398566494
11,8.0242586364,13.2424849905,16.0959684601,18.6895287259,24.5468150942,30.4607524635,29.6706299897,32.3179186568,33.2886873315,43.9352415577,41.0418429597,49.2422412016,53.51028159,73.1881679494,108.916293769,134.051794235,61.042304897,45.9040551839,39.468249724,63.1812067541,75.5326720113
12,12.8307605235,14.9762162529,17.2656860304,18.4279118303,26.9286466697,47.8577513752,38.5674615835,47.5624135652,36.5986692863,56.4120685447,53.0660612742,56.7263837377,51.5028613656,60.004487185,56.8959701639,57.2725049768,37.3826438199,25.2893421036,39.2197200505,49.9440066356,47.9600241956
